ID,likes,views,engajamento,cluster,cluster_ordenado
0XtoXITfDy8,78169,2007567,0.038937181175024295,4,1
bf9BYmYPqkE,3737,151738,0.024627977171176634,4,1
URFUBzk0ff8,1,37,0.02702702702702703,4,1
KVLTxKyxioA,14461,584201,0.024753466700673226,4,1
PTelAW-QYVI,13433,546679,0.02457200660716801,4,1
lmv4YmB-q5A,7211,325723,0.022138442787276304,4,1
8h-B0v6qa0A,84,4174,0.020124580737901295,4,1
IkxkU2xquKY,122,2794,0.043664996420901936,4,1
z8T29GYPlVM,154747,6632469,0.0233317336274018,4,1
rebIOhS7L_M,5697,146989,0.0387580022994918,4,1
rAOKLGKWa5I,407,18134,0.02244402779309584,4,1
Pbzb_n9XNJ0,58521,2795523,0.020933828839898652,4,1
7oc0yCeOLGE,45452,2078928,0.021863191029222753,4,1
kEYlGbgg9Kw,41,1102,0.03720508166969147,4,1
giaCldbGKAQ,384,17370,0.022107081174438686,4,1
4bdXOms1BeU,1319,46211,0.028542987600354893,4,1
85WsCSmW3Xc,832697,39531578,0.02106409716303255,4,1
f3CK3mE_r9c,574,13522,0.04244934181334122,4,1
ECzzX0PfIeE,35,870,0.040229885057471264,4,1
63LbwNScJAM,661,20141,0.03281862866789136,4,1
BFgqhoX5BE4,123,4920,0.025,4,1
o7DMHJKhpws,159905,4066813,0.039319486782401845,4,1
IItwxAzoMXs,1844047,68930059,0.026752436117891614,4,1
6FliHIDP5fo,21117,620903,0.03401014329130315,4,1
BqbLCoPGxNg,10566,266191,0.03969330292909978,4,1
AvKY1yCwB8o,15,752,0.0199468085106383,4,1
yZmKNx0G5eE,2,45,0.044444444444444446,4,1
CtvO3yZZmpA,295,11058,0.026677518538614577,4,1
5Auq_8z_qSg,34564,1619458,0.02134294313282592,4,1
ltL3q16mPvk,3,98,0.030612244897959183,4,1
lgD_G0_5EYE,11025,274159,0.04021389047961219,4,1
Te1ov1q5P1I,71,1558,0.045571245186136075,4,1
Q9r4Kvr8Qsg,15826,459644,0.03443099442176989,4,1
WUCBeeATyMU,83362,3140938,0.02654047930904717,4,1
mg7VAT0bEcg,57,2043,0.027900146842878122,4,1
Mc2z8Y0jAZs,8690,411111,0.021137843550768528,4,1
V3NJdxTRRts,46047,1737639,0.026499750523555236,4,1
gxiUxd9Zkbg,196,10068,0.019467620182757252,4,1
6yJJfFjb2z0,24645,1103470,0.022334091547572658,4,1
