ID,transcription,cluster
0XtoXITfDy8,,-1
5Auq_8z_qSg,,-1
6FliHIDP5fo,,-1
7fCC4xob94A,,-1
6yJJfFjb2z0,,-1
4bdXOms1BeU,,-1
7oc0yCeOLGE,,-1
7Q22PHY6nP8,,-1
87wbUWUF68Y,,-1
AvKY1yCwB8o,,-1
7UKiv4KsZDg,,-1
bf9BYmYPqkE,,-1
BFgqhoX5BE4,,-1
BqbLCoPGxNg,,-1
CtvO3yZZmpA,,-1
FFBSI9VGphA,,-1
giaCldbGKAQ,,-1
HFTRoBMGGOI,,-1
JN2aSu_NXLo,,-1
jvZBRHiLKiE,,-1
kEFwaP4_6FM,,-1
ksG87OUZOkA,,-1
lkFejnE_6Mo,,-1
lmv4YmB-q5A,,-1
Mc2z8Y0jAZs,,-1
MRDBYz3PCXQ,,-1
o7DMHJKhpws,,-1
oyRjS_6hGtk,,-1
Pbzb_n9XNJ0,,-1
Q9r4Kvr8Qsg,,-1
QUUKCluhPT0,,-1
pvGVFzlikYc,,-1
TCttcJjnxfs,,-1
V3NJdxTRRts,,-1
WUCBeeATyMU,,-1
yZmKNx0G5eE,,-1
z8T29GYPlVM,,-1
